University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline,Programme Duration,Accomodation,Category,Level
University of Debrecen ,Debrecen ,Geography,7181,7181,31/5/23,4,YES,Environmental studies ,Masters
University of Debrecen ,Debrecen ,Geoinformatics,7181,7181,31/5/23,4,YES,sciences ,Masters
University of Debrecen ,Debrecen ,​Hydrobiology - Water Quality Management,7181,7181,31/5/23,4,YES,Environmental studies ,Masters
University of Debrecen ,Debrecen ,Molecular Biology,8141,8141,31/5/23,2,YES,Natural science and mathematics ,Masters
University of Debrecen ,Debrecen ,Physics,7181,7181,31/5/23,4,YES,Natural science and mathematics ,Masters


International Business School Budapest,Budapest,Corporate Finance ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with AI and Data Analytics,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with Arts,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with Diplomacy and International Relations ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with HRM and Business Psychology ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with Markketing ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Management with Tourism ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Business Administration and Management ,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,International Business and Economics,8000,8000,,3,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Marketing- Digital Media ,8000,8000,,3.5,Yes,Business and management,Bachelors
International Business School Budapest,Budapest,Psychology ,8000,8000,,3,Yes,Social Sciences,Bachelors

International Business School Budapest,Budapest,Strategic International Management with Human Resource Management ,6400,6400,,1.5,Yes,Business and management,Masters
International Business School Budapest,Vienna,Strategic International Management ,6400,6400,,1.5,Yes,Business and management,Masters
International Business School Budapest,Budapest,Strategic International Management with Marketing,6400,6400,,1.5,Yes,Business and management,Masters
International Business School Budapest,Budapest,Strategic International Management with Finance ,6400,6400,,1.5,Yes,Business and management,Masters
International Business School Budapest,Budapest,Strategic International Management with specialization in AI and cybersecurity,6400,6400,,1.5,Yes,Business and management,Masters
International Business School Budapest,Budapest,IT for Business Data and Analytics ,6400,6400,,1.5,Yes,Business and management,Masters
