university,country,title,level,field,duration,tuition_amount,tuition_currency,intake,deadline,source_url,source_checked_at,data_status,active
International Business School Budapest,Hungary,Business Management with AI and Data Analytics,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management with Arts,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management with Diplomacy and International Relations,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management with HRM and Business Psychology,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management with Markketing,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Management with Tourism,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Business Administration and Management,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,International Business and Economics,Bachelors,Business and management,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Marketing- Digital Media,Bachelors,Business and management,3.5,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Psychology,Bachelors,Social Sciences,3,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management with Human Resource Management,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management with Marketing,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management with Finance,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management with specialization in AI and cybersecurity,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,IT for Business Data and Analytics,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
International Business School Budapest,Hungary,Strategic International Management with specialization in Hospitality,Masters,Business and management,1.5,6400,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,Commerce and Marketing,Bachelors,Business and management,3.5,5600,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,Business Administration and Management,Bachelors,Business and management,3.5,5600,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,Business Informatics,Bachelors,Business and management,3.5,6200,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,Marketing Strategy and Innovation,Masters,Business and management,1,8000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,MBA,Masters,Business and management,2,7000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,Human Resource Management,Bachelors,Business and management,3.5,5600,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Wekerle Business School,Hungary,International Economics,BAchelors,Business and management,4,6000,EUR,,,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,Business Administration Financial Services Managament,Bachelors,Business and management,3,13500,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,Business Administration Marketing and Communication,Bachelors,Business and management,3,13500,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,Business Administration Economics and Management,Bachelors,Business and management,3,13500,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,Business Management Entreprenuership and Innovation,Masters,Business and management,1.5,14600,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,Business Management Digital Marketing and Communication,Masters,Business and management,1.5,14600,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,MBA International Management,Masters,Business and management,1.5,15890,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,MBA Finance,Masters,Business and management,1.5,15890,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
New European College,Germany,MBA Entrepreneurship and Innovation,Masters,Business and management,1.5,15890,EUR,,3-Apr,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BSc (Hons) International Business & Management,Bachelors,Business and management,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BA (Hons) Tourism and Hospitality Management,Bachelors,Business and management,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BSc (Hons) Computer Sciences and Digitisation,Bachelors,Computer science and IT,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BSc in Psychology - Psychosocial Disciplines,Bachelors,Social sciences,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,Global MBA,Masters,Business and management,1.5,"€ 14,150",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc Digital Marketing,Masters,Business and management,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc Finance and Investment,Masters,Business and management,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,"MA Tourism, Hospitality and Event Management",Masters,Business and management,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc Data Analytics,Masters,Computer science and IT,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc Information Technology Management,Masters,Computer science and IT,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc in International Health Management,Masters,Business and management,1.5,"€ 12,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA in Energy Management,Masters,Business and management,1.5,"€ 12,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc in Engineering Management,Masters,Business and management,1.5,"€ 12,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA in Logistics,Masters,Business and management,1.5,"€ 12,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MBA,Masters,Business and management,2,"€ 18,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA in Innovation and Entrepreneurship (MAIE),Masters,Business and management,2,"€ 15,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MSc in Psychology - Cognitive Processes and Technologies,Masters,Social sciences,2,"€ 15,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,DBA,,Business and management,4,"€ 15,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BSc (Hons) International Business & Management,Bachelors,Business and management,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,"MA Tourism, Hospitality and Event Management",Masters,Business and management,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,Global MBA,Masters,Business and management,1.5,"€ 14,150",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA in Innovation and Entrepreneurship,Masters,Business and management,1.5,"€ 15,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BA in Economics and Business Administration,Bachelors,Business and management,3,"€ 21,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,"MA in International Tourism, Hospitality and Event Management",Masters,Business and management,1.5,"€ 8,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,Global MBA,Masters,Business and management,1.5,"€ 9,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BSc (Hons) International Business & Management,Bachelors,Business and management,3,"€ 28,350",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,"MA Tourism, Hospitality and Event Management",Masters,Business and management,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,Global MBA,Masters,Business and management,1.5,"€ 14,150",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA in Innovation and Entrepreneurship,Masters,Business and management,2,"€ 15,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BA (Hons) Graphic Design,Bachelors,Arts,3,"€ 36,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BA (Hons) Illustration,Bachelors,Arts,3,"€ 36,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,BA (Hons) Animation,Bachelors,Arts,3,"€ 36,000",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Berlin School of Business and Innovation,Germany,MA Visual Communication,Masters,Arts,1.5,"€ 12,600",EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Arden University,United Kingdom,BA (Hons) Business Management Marketing,Bachelors,Business and management,3,10500,EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
Arden University,United Kingdom,Business Management Human Resource,Bachelors,Business and management,3,10500,EUR,,Rolling,internal:replit-partnered-university-programs.csv,,HISTORICAL_REFRESH_REQUIRED,false
